match_id,winner,map,region,date_time
1076518323,0,Ranked Jaguar Falls,NA,3/27/2021 3:12:10 AM
1076518327,1,Ranked Frozen Guard,NA,3/27/2021 3:12:12 AM
1076518337,1,Ranked Jaguar Falls,Latin America North,3/27/2021 3:12:15 AM
1076518366,1,Ranked Ascension Peak,Latin America North,3/27/2021 3:12:22 AM
1076518367,0,Ranked Ascension Peak,Brazil,3/27/2021 3:12:22 AM
1076518369,0,Ranked Stone Keep,Brazil,3/27/2021 3:12:23 AM
1076518387,0,Ranked Ascension Peak,Latin America North,3/27/2021 3:12:29 AM
1076518405,0,Ranked Frozen Guard,EU,3/27/2021 3:12:34 AM
1076518413,0,Ranked Splitstone Quarry,Brazil,3/27/2021 3:12:35 AM
1076518524,0,Ranked Ascension Peak,Brazil,3/27/2021 3:13:09 AM
1076518549,1,Ranked Serpent Beach,EU,3/27/2021 3:13:15 AM
1076518578,1,Ranked Frozen Guard,Brazil,3/27/2021 3:13:24 AM
1076518585,1,Ranked Ice Mines,NA,3/27/2021 3:13:26 AM
1076518608,0,Ranked Ice Mines,Latin America North,3/27/2021 3:13:31 AM
1076518618,0,Ranked Stone Keep,NA,3/27/2021 3:13:33 AM
1076518649,0,Ranked Frog Isle,NA,3/27/2021 3:13:44 AM
1076518665,1,Ranked Serpent Beach,Latin America North,3/27/2021 3:13:49 AM
1076518713,0,Ranked Ascension Peak,NA,3/27/2021 3:14:01 AM
1076518735,0,Ranked Jaguar Falls,NA,3/27/2021 3:14:09 AM
1076518745,1,Ranked Ascension Peak,Latin America North,3/27/2021 3:14:13 AM
1076518811,1,Ranked Ascension Peak,Brazil,3/27/2021 3:14:34 AM
1076518812,0,Ranked Warder's Gate,EU,3/27/2021 3:14:35 AM
1076518851,1,Ranked Stone Keep,EU,3/27/2021 3:14:43 AM
1076518852,1,Ranked Frog Isle,NA,3/27/2021 3:14:43 AM
1076518857,1,Ranked Jaguar Falls,Brazil,3/27/2021 3:14:46 AM
1076518870,1,Ranked Ice Mines,NA,3/27/2021 3:14:51 AM
1076518881,0,Ranked Jaguar Falls,EU,3/27/2021 3:14:53 AM
1076518899,1,Ranked Splitstone Quarry,Brazil,3/27/2021 3:14:58 AM
1076518923,1,Ranked Splitstone Quarry,Brazil,3/27/2021 3:15:06 AM
1076538009,0,Ranked Warder's Gate,NA,3/27/2021 5:00:07 AM
1076538030,1,Ranked Warder's Gate,Latin America North,3/27/2021 5:00:15 AM
1076538034,0,Ranked Stone Keep,Brazil,3/27/2021 5:00:18 AM
1076538037,1,Ranked Serpent Beach,EU,3/27/2021 5:00:18 AM
1076538045,0,Ranked Ascension Peak,EU,3/27/2021 5:00:19 AM
1076538142,0,Ranked Ascension Peak,Latin America North,3/27/2021 5:00:55 AM
1076538145,0,Ranked Frozen Guard,Latin America North,3/27/2021 5:00:56 AM
1076538164,1,Ranked Frog Isle,Brazil,3/27/2021 5:01:02 AM
1076538176,1,Ranked Ice Mines,NA,3/27/2021 5:01:06 AM
