match_id,a_lvl1,a_lvl2,a_lvl3,a_lvl4,a_lvl5,tier1,tier2,tier3,tier4,tier5,wins1,wins2,wins3,wins4,wins5,losses1,losses2,losses3,losses4,losses5,champ1,champ2,champ3,champ4,champ5,assists1,assists2,assists3,assists4,assists5,deaths1,deaths2,deaths3,deaths4,deaths5,kills1,kills2,kills3,kills4,kills5,c_losses1,c_losses2,c_losses3,c_losses4,c_losses5,c_matches1,c_matches2,c_matches3,c_matches4,c_matches5,c_wins1,c_wins2,c_wins3,c_wins4,c_wins5
1076516397,191,679,202,232,203,15,21,14,20,17,33,216,136,147,44,44,215,131,157,29,2073,2338,2303,2307,2509,938,42,200,260,544,609,27,111,390,609,384,35,21,341,746,49,2,9,20,36,83,4,13,34,65,34,2,4,14,29
1076516403,204,203,45,69,173,11,10,3,8,,86,23,1,108,1,102,30,6,116,3,2147,2303,2348,2073,2480,43,117,40,171,281,77,39,34,98,223,71,13,14,77,193,8,6,4,8,14,10,8,4,13,26,2,2,0,5,12
1076516405,141,448,114,230,295,14,16,7,12,10,203,306,13,144,134,182,292,26,134,135,2362,2073,2288,2491,2529,1015,1020,26,448,68,803,451,12,261,39,1507,442,13,120,72,32,26,1,16,3,88,70,3,35,7,56,44,2,19,4
1076516447,122,80,635,415,527,17,13,11,10,13,15,22,112,37,81,12,19,120,30,71,2314,2073,2393,2267,2512,4,55,0,560,127,11,24,0,141,91,11,27,0,53,61,1,2,0,13,10,1,4,0,32,16,0,2,0,19,6
1076516475,58,29,37,41,39,9,14,5,9,9,8,8,10,8,12,7,6,13,7,14,2528,2314,2431,2348,2205,145,143,156,126,23,71,98,47,90,33,82,97,70,58,35,3,3,2,3,1,9,9,8,8,3,6,6,6,5,2
1076516498,159,199,167,669,255,10,19,17,12,10,35,17,17,35,43,34,18,17,30,37,2073,2277,2303,2094,2404,127,190,604,261,164,55,127,246,476,165,52,216,89,370,87,5,10,20,31,11,10,21,34,43,20,5,11,14,12,9
1076516527,197,33,165,412,20,20,11,20,22,11,267,9,175,342,1,260,9,129,337,4,2529,2348,2512,2338,2372,0,21,204,10613,2,0,29,85,11046,13,0,8,162,15523,0,0,4,4,571,1,0,4,16,1204,1,0,0,12,633,0
1076516534,396,92,74,400,70,18,13,17,17,9,63,6,150,107,9,68,5,125,105,8,2073,2277,2372,2536,2348,4594,239,1230,31,113,2616,232,356,30,81,2398,321,142,44,33,150,9,32,1,7,329,24,70,3,12,179,15,38,2,5
1076516560,406,366,73,95,170,14,13,12,10,8,26,38,35,7,235,21,28,46,11,235,2056,2404,2393,2479,2277,21820,129,4,6,26,10175,64,17,7,48,9214,33,13,1,37,657,2,2,1,3,1386,9,2,1,5,729,7,0,0,2
1076516608,81,45,44,36,33,,13,13,6,4,0,7,7,6,19,2,4,6,5,23,2495,2071,2277,2372,2477,0,2,8,3,43,7,7,15,8,52,7,1,14,0,25,1,1,1,1,3,1,1,2,1,8,0,0,1,0,5
1076516616,67,792,493,572,108,10,20,13,16,8,100,194,241,249,22,127,203,229,238,23,2338,2529,2288,2372,2147,229,3801,327,16502,2,294,3364,281,3811,13,340,5148,173,1776,0,18,189,15,429,1,31,384,34,877,1,13,195,19,448,0
1076516711,420,440,362,510,244,13,16,15,13,12,38,293,41,38,30,39,298,40,39,31,2348,2420,2528,2491,2277,1732,1443,1653,276,48,1096,1946,800,192,73,1131,2536,831,104,68,83,85,54,15,4,162,178,123,25,6,79,93,69,10,2
1076516718,482,550,185,404,53,23,24,14,23,14,113,176,10,114,10,113,188,7,114,7,2362,2073,2533,2094,2512,566,2231,13,3106,21,339,1109,7,3098,8,697,1082,1,5249,11,20,68,0,149,0,48,178,1,376,2,28,110,1,227,2
1076516722,191,262,692,217,392,8,17,16,10,13,2,125,224,7,44,3,115,216,4,48,2071,2420,2529,2404,2533,24,513,542,1414,274,33,570,562,858,95,12,875,762,891,31,2,33,35,54,6,3,65,66,113,12,1,32,31,59,6
1076516736,137,186,286,235,107,8,10,9,5,2,312,74,28,130,1,296,65,36,137,4,2404,2479,2420,2303,2480,2805,269,75,177,9,1756,208,71,131,14,1537,164,139,15,4,110,11,4,12,2,235,26,10,16,2,125,15,6,4,0
1076516762,436,312,63,39,60,8,11,10,6,13,6,46,22,21,83,14,33,23,18,93,2417,2372,2480,2338,2057,18,572,15,403,88,17,151,9,459,135,17,86,9,662,155,1,15,0,34,10,2,30,1,61,14,1,15,1,27,4
1076516815,69,31,40,23,61,8,12,6,12,12,20,16,15,12,15,16,11,12,8,9,2073,2362,2491,2277,2481,247,102,30,37,78,69,43,10,71,94,103,104,6,62,107,5,1,0,2,3,18,9,2,7,12,13,8,2,5,9
1076516834,379,115,412,136,292,17,17,17,12,20,114,21,31,3,154,99,16,32,4,148,2303,2277,2529,2477,2404,1178,877,189,91,0,320,906,142,99,0,207,1160,189,84,0,31,51,10,5,0,64,105,19,10,0,33,54,9,5,0
1076516835,35,29,38,45,90,9,6,13,7,8,3,9,23,3,96,2,10,24,2,97,2314,2372,2057,2477,2404,398,94,77,31,2646,332,61,74,48,1707,445,28,81,16,1046,12,6,5,3,122,32,9,10,5,226,20,3,5,2,104
1076516934,123,351,337,416,536,22,22,23,21,23,26,141,107,44,112,19,143,98,45,119,2509,2303,2420,2073,2404,213,1884,156,721,2057,120,902,157,286,1171,300,240,222,273,1159,6,70,10,14,71,22,115,18,50,168,16,45,8,36,97
1076516940,226,235,45,318,274,19,10,,10,9,6,4,0,6,2,9,10,1,9,10,2536,2533,2314,2477,2404,8,263,10,140,285,12,104,14,120,174,22,27,9,97,131,1,9,1,6,9,1,15,1,13,23,0,6,0,7,14
