match_id,a_lvl6,a_lvl7,a_lvl8,a_lvl9,a_lvl10,tier6,tier7,tier8,tier9,tier10,wins6,wins7,wins8,wins9,wins10,losses6,losses7,losses8,losses9,losses10,champ6,champ7,champ8,champ9,champ10,assists6,assists7,assists8,assists9,assists10,deaths6,deaths7,deaths8,deaths9,deaths10,kills6,kills7,kills8,kills9,kills10,c_losses6,c_losses7,c_losses8,c_losses9,c_losses10,c_matches6,c_matches7,c_matches8,c_matches9,c_matches10,c_wins6,c_wins7,c_wins8,c_wins9,c_wins10
1076464492,87,97,70,140,35,11,11,13,15,11,26,105,106,107,26,23,101,101,101,21,2393,2404,2528,2491,2536,86,1030,804,409,74,45,595,351,211,94,97,579,337,206,57,2,47,23,14,4,6,90,53,26,8,4,43,30,12,4
1076464507,34,27,73,40,79,7,,11,3,5,11,0,14,1,14,12,2,18,7,21,2285,2338,2528,2348,2372,37,0,4,13,131,58,11,7,13,100,54,4,0,6,14,4,2,1,1,8,7,2,1,2,14,3,0,0,1,6
1076464511,449,590,181,239,489,21,18,19,14,18,54,22,13,52,43,47,25,16,51,33,2314,2303,2288,2536,2477,2059,0,10,85,0,1576,0,9,147,0,1595,0,10,115,0,81,0,1,9,0,162,0,1,13,0,81,0,0,4,0
1076464516,42,126,26,57,29,18,19,22,17,20,8,105,21,52,4,4,74,12,44,1,2093,2071,2092,2404,2267,211,6294,118,1197,67,72,4056,98,546,20,103,3216,104,601,10,4,251,4,45,1,11,581,10,100,3,7,330,6,55,2
1076464517,431,474,435,499,946,26,19,19,22,22,270,168,98,94,178,254,166,94,93,175,2495,2267,2348,2417,2479,1722,1060,602,197,0,1242,209,339,125,0,2518,198,260,135,0,79,33,28,9,0,177,55,58,17,0,98,22,30,8,0
1076491213,154,969,220,162,284,15,18,15,12,20,51,345,23,53,120,49,354,16,52,124,2372,2285,2348,2529,2205,254,0,206,19,426,60,0,120,10,428,34,0,62,17,661,6,0,5,0,32,15,0,13,1,55,9,0,8,1,23
1076491249,532,323,124,438,474,,14,11,9,14,2,45,54,159,127,2,41,45,158,128,2314,2348,2479,2372,2093,39,720,339,0,333,22,420,288,0,145,25,290,229,0,112,0,20,21,0,7,3,59,33,0,20,3,39,12,0,13
1076491288,84,72,195,550,34,6,13,11,7,5,42,58,116,120,11,44,61,98,127,26,2479,2417,2533,2536,2314,43,338,1501,0,135,32,297,514,0,206,33,333,141,0,94,2,19,42,0,15,4,30,82,0,20,2,11,40,0,5
1076491290,550,558,322,319,201,25,20,20,23,16,221,90,67,275,60,211,77,60,265,46,2417,2303,2479,2495,2073,2083,2486,824,0,212,1643,700,657,0,150,2056,257,570,0,68,93,55,49,0,14,187,135,82,0,20,94,80,33,0,6
1076491294,284,899,213,41,282,14,18,11,11,15,25,138,95,6,102,16,130,96,5,97,2491,2529,2479,2477,2205,1161,713,426,76,835,480,702,327,42,919,378,731,231,68,1545,34,45,20,3,46,77,77,36,8,101,43,32,16,5,55
1076515884,789,551,448,350,803,22,21,26,22,26,135,146,73,22,156,126,146,54,10,138,2533,2071,2509,2288,2493,1416,503,10224,2772,2694,285,348,6925,1914,3984,138,205,15166,2598,6125,36,27,514,133,147,77,53,1161,272,372,41,26,647,139,225
1076515910,490,760,343,999,999,17,22,21,23,22,60,108,12,310,108,44,106,10,303,106,2071,2533,2205,2092,2479,1424,4531,831,1533,1830,911,803,896,1353,1100,654,472,1557,1684,1032,61,81,39,87,87,119,193,100,159,152,58,112,61,72,65
1076515911,289,530,488,706,86,18,20,12,13,9,45,95,165,71,15,35,78,154,79,19,2277,2205,2071,2303,2477,31,6660,2138,1134,101,51,7439,1699,580,130,65,11440,1339,210,74,2,349,89,41,8,5,769,181,73,13,3,420,92,32,5
1076515928,823,175,171,741,584,21,13,,13,15,83,4,1,3,3,75,3,1,5,3,2092,2491,2348,2404,2094,5264,116,2296,2120,542,4597,40,1317,1103,431,5811,19,1110,1066,607,273,1,87,69,24,530,6,190,161,60,257,5,103,92,36
1076515979,480,623,162,109,336,12,16,7,9,14,28,36,12,66,20,25,37,8,67,16,2372,2479,2495,2057,2073,338,257,212,0,2057,122,140,209,0,808,28,119,236,0,859,8,10,16,0,61,17,19,26,0,135,9,9,10,0,74
1076516056,545,288,458,319,315,18,14,16,18,10,187,38,209,185,26,173,30,204,175,28,2362,2071,2348,2393,2491,1229,793,1842,33,248,1229,405,1273,12,164,1814,470,776,32,81,57,18,74,1,5,131,58,162,3,16,74,40,88,2,11
1076516103,90,344,140,883,93,19,26,21,26,18,90,54,59,231,13,86,41,58,218,10,2071,2307,2533,2417,2512,137,507,638,1695,2,119,350,182,1326,1,76,684,69,1802,1,6,18,12,94,0,16,52,30,176,1,10,34,18,82,1
